id1,id2
607156,1093432
663742,836802
130995,569300
497598,1809399
202381,363760
913962,2088608
90360,453776
653595,1463187
1086459,1430297
1128736,1644645
1211742,1412392
1526160,2183109
368353,985802
721450,1433167
91527,1957513
764746,1862938
573138,1425275
1208022,1275779
1496894,1637069
551431,1018847
607677,2129178
739595,2258232
590032,1887122
910878,1662095
1078901,1905847
422963,679925
1326829,1571563
1249184,1621111
332029,1217804
1334338,1710678
720956,2119019
1226807,1294585
1984407,2063658
1293447,2278507
1547737,2159548
348574,2212918
654272,1371959
1228241,1783050
218313,1635486
334854,829888
387932,1227323
2030422,2057289
772837,1465579
520214,592033
3229,85046
1744829,2144159
575313,1239517
979559,1060458
414661,1201794
142865,447545
649215,770184
1261189,1661251
559293,600052
1131646,1751359
327626,2140872
386070,1925539
19247,1675762
1904219,1998805
258366,1564213
1521396,1617411
469625,954100
426179,1150379
750430,2239258
815610,2083042
1438937,1982079
1039294,1226167
261643,1031966
1098864,1156548
1811226,2055603
628884,825812
631446,1289493
1262378,1850469
214832,1088864
692380,2132630
1795764,2186134
912259,2024885
1131338,1265711
277280,441046
665285,1258615
265064,408640
359227,1866078
233336,1280329
315632,1834226
586941,1148081
381473,2220655
632109,1433167
964211,2035618
708601,2069306
642280,1876935
1348622,1714622
196359,2128865
1539611,1689016
1308766,1494396
970267,972803
490137,2064139
393818,524651
955235,2199462
541052,885502
202652,967799
112558,817584
1388083,1580347
290016,1373553
2123565,2123589
1833841,1835741
310218,1000056
760562,1995268
1357869,1399281
1105163,2211765
475815,1784329
1403438,1976712
401669,857811
102123,485208
58987,1003478
446995,1354077
921887,1423433
1172173,1928635
508564,1693529
482919,2160528
450434,1017123
1493756,2231497
636007,1954191
1286716,2206197
468127,2151011
1102286,2140958
9938,1463899
364335,1624439
1175548,1632636
84797,1633451
732333,1471393
1650155,2080141
757977,1715327
822763,1605293
150628,1555595
480055,899880
86438,2067471
1097841,2042823
1908882,1980762
1448581,1564213
590131,1932283
67858,255506
313272,1160901
403980,984284
1044847,1376339
192103,418159
1046021,1347013
1413445,1758922
512715,1008015
127649,2025275
258366,1448581
1177150,2106433
1131469,1538253
1665851,2190653
2064849,2205231
155591,429577
142761,1869441
751408,1349235
923231,1505404
1195293,1398156
55430,921755
816582,2094808
1902147,2178050
1069743,1664586
236589,1998121
1117601,1317788
290879,1676643
1808690,1836090
1343708,1365055
1432744,1505528
81120,1119536
172967,1788057
887735,1277378
798805,1303629
459714,708149
95940,962617
493405,1131522
755652,1790374
1367441,1829111
1758106,1875781
963974,1037428
510277,951145
528849,1225567
1068036,1329301
1172173,1857448
1175160,1744931
1400496,2087252
712671,1688108
21864,282831
52818,1730232
1504668,2057455
639412,1523096
1402732,1610147
571954,615224
614512,2261112
22912,1929565
358906,649849
911631,2124884
892354,1108093
1909314,2222388
216500,621204
943831,1546179
101786,2022012
628854,1295776
1857448,1928635
1270314,1672052
688088,1117990
384146,1406890
262514,883406
774137,977879
961384,1311310
1131443,2028037
718649,1034113
759549,2106243
1354941,2208272
144831,752734
1206414,2036133
938592,1468368
694773,1561485
113328,800257
991431,1287889
389310,1079029
287873,2014164
871654,1427954
286175,553367
546073,1616199
97225,1009798
1502358,1722382
1263044,1813340
617435,1287319
1003344,1782010
188348,1214930
1073820,1416869
1563652,2114667
1341751,1399123
99935,2174454
1047245,1447093
865799,1393392
940163,1121348
479553,747580
1424239,1582522
1888369,2117792
363397,456456
112873,1826655
599379,763808
173011,2104423
629140,759188
1333661,1343323
68946,74115
1582522,1721991
271338,1124284
101604,588065
453005,2136935
1030241,1258787
146234,1303043
581137,2034348
632109,721450
335740,598701
91846,283959
29988,481929
453176,727097
365408,1413514
459057,753081
832657,1106605
1718092,2234163
1554402,1685646
1245561,2133096
389091,2243983
327784,1986949
552004,1455746
987546,2149739
363345,1146351
1815659,2005574
323878,518356
277065,661435
1537739,1962599
1624544,1884095
299102,1617958
26734,2226477
1768758,1827705
187163,1943683
1233571,1881642
25609,191068
1625597,2112491
460827,2116152
2199517,2223579
629259,905522
290879,519542
1121460,1177023
1799483,2220489
34572,199881
1383957,2220216
133997,195365
948472,1526367
430667,1609419
1922059,2145472
674541,2087252
360195,2033745
906381,2157281
718931,1367811
1887001,2209885
508490,2005212
29388,740939
1191060,2104570
397003,543146
1085600,1768437
1759012,1853358
889424,894501
100668,313844
915848,1247392
330546,1213541
235948,600052
593733,1490447
796078,1851029
258734,1385190
356112,769721
544777,1213541
174765,860822
105601,1260460
822912,826941
310988,1228716
840055,1577930
198678,936542
862291,1117572
141284,1817219
118881,1097635
978088,2024487
522468,1782151
1501158,1553453
63311,686125
13162,178920
611081,632986
1708024,2270845
200662,1618064
327682,1713261
296842,1087273
526390,1800764
151037,160124
339821,508271
839374,1154712
596677,1526420
296087,1846522
1636264,1750424
543946,1597252
400127,2118559
21864,1072401
1301694,1488011
1342046,2114667
1393053,1434251
1530705,1744649
1305802,2204974
13684,1604910
742687,1373432
42661,214832
644456,1355499
362981,1126369
65700,1496958
543705,833817
50655,2250899
1006089,1144481
1865468,2254482
1006055,2054801
335730,1980272
26578,1360635
798464,906898
479013,1651760
1610984,2206544
1600064,2011140
603945,2002372
1124451,2187650
667293,1491056
732227,1178607
828221,1199438
387745,1491779
196875,1208536
1570290,1855256
712378,2153129
34080,1347047
1140574,1751855
1452123,1619955
153330,2191883
1349597,1381868
1459464,2019504
360788,1382534
483246,1792171
54406,623135
468690,528842
1420316,1783599
1818751,2018760
431099,487049
1405704,1462841
1496754,1884106
268281,681288
855931,2034462
243156,1542826
1636556,2184722
550071,2176759
1175684,2135040
887735,1738041
55694,2096593
848948,1921699
803408,1512684
727994,1798877
221043,1921434
330546,544777
483006,1006971
484951,1596921
53720,1616843
993159,1059608
551677,1935111
990505,1589600
701408,729527
295670,2207970
644148,1834824
1509298,1894760
431036,847635
195764,931209
165102,353794
1477586,1987095
674541,1400496
1688099,2162653
519648,2144277
71683,2198051
36267,288937
353401,894131
1437814,1704364
222539,1932178
189699,603341
51705,831496
201452,2030971
96176,266078
336356,844402
414113,729408
1032306,2051694
1177661,2049298
438676,736308
258632,1787168
179009,960778
1834813,2169705
1432252,1802229
483129,863016
785739,803053
488659,548460
1079504,1345584
712961,1296448
235948,559293
985361,1120947
1253650,1964215
221073,425024
398186,837351
1045020,1828680
1424239,1721991
1582522,1905150
443861,662617
138864,648964
1418269,1675762
1737562,2080166
1056483,1234441
1609827,2235640
1036679,1585959
1492221,2116453
815452,1387370
96236,1342046
274777,2240034
98027,2021153
1311912,2202749
1663514,1910348
330010,960671
1355617,1625924
795919,903436
762491,1830954
250762,1913934
656118,2247514
19247,1418269
282260,1623593
656529,1864218
1025468,1705922
2061219,2196681
392920,1165152
1504228,1597252
470552,502561
396508,2078361
1164649,1944002
1424239,1905150
82187,585710
614404,1678087
111850,1434663
327784,1555398
574892,2257264
492976,1721464
168945,1361823
1295428,1383642
568447,1988941
968556,1620517
1231584,2099222
852029,1988073
1215299,1361828
799519,1350138
296455,1224638
1514459,1606077
529845,2078361
1413763,1744047
506616,1598577
528750,870055
250287,865145
1314986,1478833
215523,2024487
629040,1304217
543946,1504228
1503667,1714454
1082257,2166861
1173984,1579262
594172,1883653
783905,1813158
710120,738666
589317,1269390
958444,1211001
931991,1036329
810063,1450179
1794426,1921434
631907,1677327
732226,1182255
1381549,1693767
325207,1865565
1452787,1631739
889641,2256789
1721991,1905150
590066,2139877
493663,539628
282831,1072401
404699,1439596
160124,479454
199255,1879156
141374,2010083
773100,1244610
912204,1851899
1183796,1533999
942808,2076933
648757,1179254
948814,1370363
1551884,2192062
185404,327771
96236,2114667
1072443,1850740
453717,507510
1691533,1831041
1346571,1953212
192304,1657207
1828626,2231032
633769,1554824
241512,526887
80425,1690133
529960,1754388
1184426,1557119
689448,1131090
637422,740367
221043,1794426
344817,2097122
429042,1946166
2090634,2250154
1948545,2172423
151037,479454
606323,1851584
